,Country,iso,EPI,Year
170,Dem. Rep. Congo,COD,42.05,2016
171,Mozambique,MOZ,41.82,2016
172,Bangladesh,BGD,41.77,2016
173,Mali,MLI,41.48,2016
174,Chad,TCD,37.83,2016
175,Afghanistan,AFG,37.5,2016
176,Niger,NER,37.48,2016
177,Madagascar,MDG,37.1,2016
178,Eritrea,ERI,36.73,2016
179,Somalia,SOM,27.66,2016
