,code,iso,Country,EPI,Year
151,144,LKA,Sri Lanka,60.61,2018
152,729,SDN,Sudan,51.49,2018
153,740,SUR,Suriname,54.2,2018
154,748,SWZ,Swaziland,40.32,2018
155,752,SWE,Sweden,80.51,2018
156,756,CHE,Switzerland,87.42,2018
157,158,TWN,Taiwan,72.84,2018
158,762,TJK,Tajikistan,47.85,2018
159,834,TZA,Tanzania,50.83,2018
160,764,THA,Thailand,49.88,2018
161,626,TLS,Timor-Leste,49.54,2018
162,768,TGO,Togo,41.78,2018
163,776,TON,Tonga,62.49,2018
164,780,TTO,Trinidad and Tobago,67.36,2018
165,788,TUN,Tunisia,62.35,2018
166,792,TUR,Turkey,52.96,2018
167,795,TKM,Turkmenistan,66.1,2018
168,800,UGA,Uganda,44.28,2018
169,804,UKR,Ukraine,52.87,2018
170,784,ARE,United Arab Emirates,58.9,2018
171,826,GBR,United Kingdom,79.89,2018
172,840,USA,United States of America,71.19,2018
173,858,URY,Uruguay,64.65,2018
174,860,UZB,Uzbekistan,45.88,2018
175,548,VUT,Vanuatu,44.55,2018
176,862,VEN,Venezuela,63.89,2018
177,704,VNM,Viet Nam,46.96,2018
178,894,ZMB,Zambia,50.97,2018
179,716,ZWE,Zimbabwe,43.41,2018
